Seed,Team,Conference,Record,Berth type,Overall rank,Placement
1,Virginia,ACC,31–2,Auto,1,64
1,Xavier,Big East,28–5,At-large,4,32
1,Villanova,Big East,30–4,Auto,2,1
1,Kansas,Big 12,27–7,Auto,3,4
2,Cincinnati,American,30–4,Auto,8,32
2,North Carolina,ACC,25–10,At-large,5,32
2,Purdue,Big Ten,28–6,At-large,7,16
2,Duke,ACC,26–7,At-large,6,8
3,Tennessee,SEC,25–8,At-large,10,32
3,Michigan,Big Ten,28–7,Auto,11,2
3,Texas Tech,Big 12,24–9,At-large,12,8
3,Michigan State,Big Ten,29–4,At-large,9,32
4,Arizona,Pac-12,27–7,Auto,16,64
4,Gonzaga,WCC,30–4,Auto,15,16
4,Wichita State,American,25–7,At-large,14,64
4,Auburn,SEC,25–7,At-large,13,32
5,Kentucky,SEC,24–10,Auto,17,16
5,Ohio State,Big Ten,24–8,At-large,20,32
5,West Virginia,Big 12,24–10,At-large,18,16
5,Clemson,ACC,23–9,At-large,19,16
6,Miami (FL),ACC,22–9,At-large,22,64
6,Houston,American,26–7,At-large,23,32
6,Florida,SEC,20–12,At-large,21,32
6,TCU,Big 12,21–11,At-large,24,64
7,Nevada,Mountain West,27–7,At-large,27,16
7,Texas A&M,SEC,20–12,At-large,25,16
7,Arkansas,SEC,23–11,At-large,26,64
7,Rhode Island,Atlantic 10,25–7,At-large,28,32
8,Creighton,Big East,21–11,At-large,30,64
8,Missouri,SEC,20–12,At-large,32,64
8,Virginia Tech,ACC,21–11,At-large,31,64
8,Seton Hall,Big East,21–11,At-large,29,32
9,Kansas State,Big 12,22–11,At-large,34,8
9,Florida State,ACC,20–11,At-large,38,8
9,Alabama,SEC,19–15,At-large,36,32
9,NC State,ACC,21–11,At-large,37,64
10,Texas,Big 12,19–14,At-large,39,64
10,Providence,Big East,21–13,At-large,35,64
10,Butler,Big East,20–13,At-large,33,32
10,Oklahoma,Big 12,18–13,At-large,40,64
11,Loyola–Chicago,Missouri Valley,28–5,Auto,46,4
11,San Diego State,Mountain West,22–10,Auto,45,64
11,St. Bonaventure,Atlantic 10,25–7,At-large,42,64
11,UCLA,Pac-12,21–11,At-large,41,68
11,Arizona State,Pac-12,20–11,At-large,43,68
11,Syracuse,ACC,20–13,At-large,44,16
12,Davidson,Atlantic 10,21–11,Auto,48,64
12,South Dakota State,Summit League,28–6,Auto,49,64
12,Murray State,Ohio Valley,26–5,Auto,50,64
12,New Mexico State,WAC,28–5,Auto,47,64
13,Buffalo,MAC,26–8,Auto,51,32
13,UNC Greensboro,Southern,27–7,Auto,52,64
13,Marshall,Conference USA,24–10,Auto,54,32
13,College of Charleston,CAA,26–7,Auto,53,64
14,Wright State,Horizon,25–9,Auto,57,64
14,Montana,Big Sky,26–7,Auto,56,64
14,Stephen F. Austin,Southland,28–6,Auto,58,64
14,Bucknell,Patriot,25–9,Auto,55,64
15,Georgia State,Sun Belt,24–10,Auto,60,64
15,Lipscomb,Atlantic Sun,23–9,Auto,59,64
15,Cal State Fullerton,Big West,20–11,Auto,61,64
15,Iona,MAAC,20–13,Auto,62,64
16,UMBC,America East,24–10,Auto,63,32
16,North Carolina Central,MEAC,19–15,Auto,67,68
16,Texas Southern,SWAC,15–19,Auto,68,64
16,LIU Brooklyn,NEC,18–16,Auto,66,68
16,Radford,Big South,22–12,Auto,65,64
16,Penn,Ivy League,24–8,Auto,64,64
